Field,Our Data,Annotated Data,Similarity
action_sequence,"the deceased was identified as hafiz ullah, 67, a local fish trader. the khagrachhari-bound tourist bus carrying students overturned on the road.","<two men were killed in a head-on collision between their motorcycles on the sylhet-tamabil highway on saturday night. the deceased were identified as al-amin, 25, resident of shantinagar village of gowainghat upazila, and shakil ahmed imon, 30, resident of laxmipur village in jaintapur upazila. another person named saidul alam, who was riding with imon, was injured in the accident. the accident occurred before the tamabil police outpost in sylhet’s gowainghat upazila. quoting locals, police said al-amin was going to naljuri by a motorcycle from tamabil point. imon and saidul were going to jaflong from jaintapur by another motorcycle on saturday night. on the way, the two motorcycles collided in front of tamabil police outpost on tamabil-sylhet highway. all three motorcyclists were injured. later, locals rescued and rushed them to jaintapur upazila health complex where the duty doctor declared al amin and shakil dead. rafiqul islam, officer-in-charge (oc) of gowainghat police station, said both motorcycles have been recovered.>",42
action_sequence,"police will press charges before a court here by this week against six people over the death of two college students in a road accident on july 29. diya khanam mim and abdul karim rajib, first year students of shaheed","<two people died and three others were injured after a sand-laden truck collided with a bus and fell on top of a cng-run autorickshaw at kalihati upazila of tangail on tuesday. the incident happened on the tangail-mymensingh road in chatipara area of the upazila on tuesday afternoon. the deceased were identified as hiraman begum, 70, of shialkol village in bhuapur upazila of tangail and abdullah, 11, of tarabari area in narandia union of kalihati. kamrul faruk, officer-in-charge of kalihati police station, confirmed the matter. the injured were admitted to tangail general hospital, he said.>",34
action_sequence,a private car caught fire on a flyover at malibagh in the city on tuesday night following a gas cylinder explosion. two firefighting units from khilagaon rushed in and doused the flame.,"<police have arrested the driver of a sport utility vehicle (suv) that ploughed into a passenger shed in dhaka's khilkhet last night, killing three people and injuring one. the driver of the vehicle, dishan, was arrested on thursday in a case filed by victim armina’s husband at the police station, said khilkhet police station officer-in-charge sheikh aminul bashar. among the deceased, yasin, 8, died on the sport while amrina haque, 34, and ujjal pandey, 26, died at dhaka medical college hospital while undergoing treatment there. soon after the incident, the suv was seized, but its drive fled the spot. yasin's father sumon is undergoing treatment at the orthopaedic department of the casualty block at dhaka medical college hospital. sub-inspector (si) mosharraf of khilkhet police station said the bodies were handed over to the relatives without autopsy following an appeal by the families of the deceased.>",33
action_sequence,a woman was killed when a bus knocked down her at chandpur in sadar uapzila on wednesday. the deceased mamtaz begum was a vegetable vendor.,"<a teenager was killed after being run over by an unidentified vehicle in the capital's jatrabari area on thursday morning. the deceased was identified as nayem,13, a street boy living in the area. the accident occurred this morning when the vehicle hit nayem under the flyover, opposite of jatrabari kalapatti, leaving him dead on the spot, said md. kamruzzaman, sub-inspector of jatrabari police station. police recovered the body and sent it to dhaka medical college morgue for an autopsy. """"""""we are trying to find details about nayem"""""""", added the officer.>""""",44
action_sequence,"two motorcyclists were killed as a goods-laden truck hit their motorcycle. the deceased were identified as paresh chandra roy, 40, and mahfuzur rahman jion, 48. police are trying to arrest the truck drivers","<a motorcyclist died after a truck ran him over in bogura’s kahalu upazila on monday. the deceased was identified as amzad hossain, 45, of kalai damgara of the upazila. the incident happened after amzad lost control of his motorcycle and fell on the road, following which a truck ran him over on the namuja-baro mile road in kaura bazar of kalai union of the upazila on monday. kahalu police station officer-in-charge selim reza confirmed the matter.>",47
action_sequence,"the deceased were identified as sanjida begum, 26, and her daughter jannat, 7. the dhaka-bound bus hit the motorbike around 8:30pm, leaving the duo dead on the spot. san","<two people died and one other was injured after the motorcycle they were on lost control and hit a road pillar on the all-weather road in mithamoin upazila of kishoreganj on monday afternoon. the incident happened on the south side of dhaki bridge in dhaki union of the upazila at around 4:45 pm on monday. the deceased were identified as yasin, 25 of chanpur area of mithamoin upazila and amir hossain, 20 of kathal bari area of companiganj police station in sylhet. the injured is mizanur rahman, 30, of the ghagra dayahati area. mithamoin police station officer-in-charge ahsan habib confirmed the matter. the three people were coming from itna to mithamoin by motorcycle. on the way, the motorcycle collided with a side pillar on the south side of dhaki bridge in dhaki union of mithamoin upazila at around 4:45pm. yasin and amir ali died on the spot, and mizanur rahman was seriously injured, he said. mizanur was referred to kishoreganj hospital in a critical condition, added the oc.>",54
action_sequence,"cattle-laden truck overturned on dhaka-chattogram highway on early wednesday. police identified the men as anwar hossain, samiul islam and khokon mia.","<in a distressing incident last night, reckless driving led to a multi-vehicle crash inside the bangabandhu tunnel in chattogram, resulting in damage to at least five vehicles and injuring several people. the accident, occurring in one of the tunnel's lanes, underscores the growing concerns over traffic safety. assistant sub-inspector billal hossain of the karnaphuli police station, under the chattogram metropolitan police, reported that the chain-reaction collision was initiated by a private car that lost control due to excessive speed. the vehicle's erratic maneuvering led to it colliding with nearby cars, impacting a total of three private cars and two microbuses. following the accident, one of the injured was rushed to chattogram medical college hospital for immediate medical attention, while others sought treatment at various hospitals. the precise number of individuals injured in the ordeal remains uncertain. in the aftermath of the collision, authorities seized all vehicles involved as part of their ongoing investigation into the incident. this accident adds to a troubling pattern of similar occurrences within the bangabandhu tunnel, which has seen seven to eight accidents in the mere four months following its inauguration on october 28 last year. the situation has been further complicated by a video that surfaced online, showcasing illegal car racing inside the tunnel immediately after its opening. the viral footage prompted legal action, with a case filed on november 1 against the individuals involved, highlighting the urgent need for enhanced safety measures and stricter enforcement of traffic regulations within this crucial infrastructure.>",43
action_sequence,"a 45-year-old man died after being allegedly hit by a speeding vehicle while crossing a road in dhaka. the deceased was identified as omar faruk, a resident of uttar jatrabari. the accident occurred around 1","<during a routine vehicle inspection on the sylhet-sunamganj road at temukhi, sylhet district, six policemen sustained injuries when a bus hit them early thursday (february 15, 2024) morning. the incident occurred as the officers were operating a check-post established to enhance road safety measures. the injured officers include azbahar ali sheikh, additional dig and deputy commissioner of sylhet metropolitan police”;” kawsar dastagir, additional deputy commissioner”;” zahurul islam, assistant commissioner of airport police station”;” sm nunu mia, officer-in-charge of airport police station”;” rezul karim, assistant sub-inspector”;” and driver nayek habibur rahman. according to zakir hossain, commissioner of sylhet metropolitan police, the accident happened around 6 am when a 'real coach' bus from sunamganj, while undergoing checks, struck the policemen, causing various degrees of injuries. the victims received immediate medical attention at a local hospital, with azbahar ali sheikh being admitted to the intensive care unit (icu) for further treatment. following the incident, police detained the bus supervisor and impounded the vehicle. however, the bus driver managed to escape from the scene. authorities are currently investigating the accident and have initiated efforts to apprehend the fleeing driver.>",52
action_sequence,"the deceased was identified as zinnat ali, 54, of doulatpur upazila in kushtia district. he was a supervisor of partex group. police arrested the helper, who was driving the truck instead of","<three people were killed and two others injured as a speeding truck crashed into a battery-run autorickshaw on dhaka-tangail highway in gazipur’s kaliakair upazila on monday (february 19, 2024) morning. the identities of the deceased could not be known immediately. naojhor highway police station officer-in-charge (oc) shahdat hossain said the tangail–bound truck hit the autorickshaw in sutrapur area, leaving five people including the autorickshaw driver injured. members of fire service and police rescued the injured and took them to kaliakair upazila health complex where physicians declared three of them dead upon arrival. the rest were undergoing treatment at the hospital, he said, adding that all the victims were passengers of the autorickshaw.>",45
action_sequence,a sub-inspector of police was killed while eight others including the accused were injured in a road accident saturday. the accident occurred around 5 am when the troop was returning to police station after detaining three accused from uttarbag tea,"<dhaka, nov 1 (unb) - at least 10 people were injured when a gas cylinder of a pickup exploded in the city‚äôs banani area on thursday afternoon. eight of the injured were identified as md khokon, 32, abdur rob, 45, abul quashem, 50, mozammel, 35, saidul, 30, md billal, 24, md karinm, 32, and md sohel, 33. they were taken to dhaka medical college hospital. sub-inspector (si) md abdul baten of banani police station said the gas cylinder of the mohakhali-bound pickup went off around 2:30 pm on dhaka-mymensingh highway near the navy headquarters, leaving its 10 passengers injured.>",52
action_sequence,witnesses said the accident occurred at digholi kazibari around 1pm. the injured were taken to sylhet mag osmani medical college hospital where doctors declared shovon nondi dead.,"<chattogram, feb 20 (unb) ‚äì at least 13 people were injured as a chattogram- bound train hit a picnic bus carrying students and guardians of a madrasha on a level crossing near the eco -park in sitakundu upazila on wednesday. eleven of the injured were identified as daud, 45, shirin aktar kamal, 45, masuda begum, 44, muzahid, 10, farzana aktar munni, 15, abul hashem, 16, sayed hasan, 15, abdul awal, 14, faisal ahmed, 12, imon, 11, and moin uddin, 11. deputy assistant director md jashim uddin of fire service and civil defence said the picnic bus carrying students and guardians of darul arqam madrasha got stuck on the rail track as the gatemen lowered the bar around 2pm. a chattogram- bound train rammed the bus and damaged a portion of the vehicle, leaving 13 people injured. two teams of fire service from kumira and sitakundu rushed to the spot and rescued the injured.the injured were sent to sitakundu upazila health complex. among them, three were sent to chattogram medical college and hospital as their condition deteriorated.>",51
action_sequence,"three people, including a woman and her son, were killed following a head-on collision between a cng run auto-rickshaw and a pick-van on noakhali-feni road in senbagh upazila","<faridpur, sept 28 (unb) ‚äì at least 18 shops were gutted in a fire which broke out at haat krishnapur bazar in sadarpur upazila on thursday night. saifuzzaman, senior station officer of faridpur fire service, said the fire broke out at a shop around 10:30 pm and spread around soon. on information, a firefighting unit went to the spot and extinguished the fire. however, it was not clear what caused the fire.>",26
action_sequence,"a man was killed in a road accident while saving a child by pushing him out of path of an oncoming ambulance on navaran-satkhira highway. the deceased was identified as hussain ali, 40, son of lutfor","<gaibandha, aug 6 (unb) ‚äì two people were killed and five others injured when a bus rammed a microbus on dhaka-rangpur highway in gobindaganj upazila on tuesday. one of the deceased was identified as nusratzahan, a sub-registrar of razarhat upazila in kurigram district while the identity of the other victim could not be known yet. quoting witnesses, mehedi hasan, officer-in-charge of gobindaganj police station, said the accident took place in front of gobindaganj eye hospital around 12 pm when the rangpur-bound bus from dhaka hit the microbus, leaving seven people injured. the injured were taken to gobindaganj upaizla health complex where doctors declared two of them dead.>",56
action_sequence,"a schoolboy was killed as a human hauler hit him at pachubari bazar in durgapur upazila. the deceased was identified as sohel rana, 12, a class iv student of srid","<khulna, apr 4 (unb) ‚äì two people were killed in separate incidents in the city on thursday night and friday morning. additional deputy commissioner (media) maniruzzamanmithu, said jewel, 20, son of masum hawladar of khalpar area, died from electrocution while working at his workshop in city‚äôs tutpara area around 9 am on friday. besides, rajab ali, 55, son of arshad ali of cumilla district was killed when a truck hit his motorbike at shiromony bypass area in the city‚äôs khanjahan ali area around 11 pm on thursday. the bodies were taken to khulna medical college and hospital>",33
action_sequence,"the deceased were identified as faizul islam chowdhury, 60, of kanaighat in sylhet and zinat khan, 50, of mymensingh sadar upazila. police said dense fog and slippery","<haka, aug 31 (unb) - some 259 people were killed and 960 others injured in 237 road accidents across the country in 13 days during the eid-ul-azha vacation, bangladesh jatri kalyan samity, a passengers' welfare platform, said on friday. the road accidents took place on different national and regional highways from august 16 to august 28, according to a report prepared by the organisation. placing the report during a press briefing at the dhaka reporters‚äô unity in the city, jatri kalyan samity secretary general mozammel haque chowdhury said the number of road crashes saw an increase during his eid vacation than that of last year. he, however, said the death toll in the road accidents decreased this year due to strict monitoring by the authorities concerned, including police, rapid action battalion and bangladesh road transport authority (brta), following the recent student movement for road safety. at least 274 people were killed in 205 road accidents while travelling during eid-ul-azha last year and the figure was 248 in 193 road accidents during the eid‚äìul-azha journey in 2016, mozammel said. apart from road accidents, four people were killed, 68 injured and eight others remained missing in 14 waterway accidents while 15 people were killed and seven others injured in 19 train accidents across the country during the period, he said. ‚äúwe‚äôve prepared the statistics based reports published in national and regional newspapers and online news portals in the country,‚äù the jatri kalyan samity secretary general added.>",41
action_sequence,"two people, including a bank official, were killed when a private car plunged into a ditch by the hatikumrul-banpara highway. the deceased were identified as amarul hossain, 42, senior officer of","<manikganj, aug 12 (unb) - an accident on the dhaka-aricha highway left three cattle traders dead and six others injured on monday morning. the deceased were identified as monwar hossain, 24, obayed hossain, 42, and izahar, 45, of kushita district. police said 18 cattle traders were returning home with 11 unsold cows when the truck fell into a roadside ditch at pukuria in ghior upazila. two of them were killed on the spot, said yamin-ud-doula, officer-in-charge of barangail highway police. the injured were taken to sadar hospital where izahar succumbed to his injuries.>",67
action_sequence,at least two people were killed when a truck plunged into a ditch after breaking the railing of a bridge in shahjahanpur upazila on wednesday. the identities of the deceased could not be known immediately. the bogura-bound,"<chandpur, aug 31 (unb) ‚äì three children who were found dead under unclear circumstances on friday died after inhaling poisonous gas in matlab dakkhin upazila, according to autopsy reports. the three bhangarpar madrasa students were found unconscious in a small room adjacent to the mosque after jumm‚äôa prayers. two of them died before they could be taken hospital. another boy died minutes after he was hospitalised. chandpur police chief jihadul kabir said the room was too small and had no window. poisonous gas was produced by three ips batteries in the room. the children fell sick after inhaling the gas and died due, he said. the deceased were abdullah al noman, 10, son of purbokaladi jaam‚äôe masjid‚äôs imam maulana zamal uddin; ibrahim, 10 of bhangarpar village; and rifat, 8, son of jasim uddin of nalua village.>",43
action_sequence,"motorcyclist was crushed under a bus at chhoto khochabari area in sadar upazila. the deceased was identified as danesh barman, 38, son of surendranath barman of dhol","<dhaka, nov 24 (unb)- three people, including a child, suffered burn injuries following blast of a gas cylinder in the city‚äôs muslimbagh in kamrangirchar on saturday. the injured are ripa akhtar, 20, her two-year old son rafsan and her aunt sharmin,22. asi abdullah khan of dhaka medical college hospital (dmch) police camp said the gas cylinder went off in the kitchen of their house around 11:45 am, leaving the trio injured. ripa‚äôs husband abdul barek rushed them to the dmch.>",18
action_sequence,"the deceased were identified as pavel, 17, a dakhil examinee and son of shamsun, and sohagh, 17. the injured are shakinur and ashique of the village.","<dinajpur, sept 21 (unb) ‚äì two students of haji mohammad danesh science & technology university and another of dinajpur govt women's college drowned as a boat capsized in ashura beel in nababganj upazila on saturday afternoon. the deceased were identified as ashfak dipto, a student of civil engineering department , rafid hasan of fisheries department of the university and faria mou, a first year student of dinajpur government women‚äôs college. subrata kumar sarkar, officer-in-charge of nababganj police station, said the accident took place around 3:45 pm when five people including the three students were enjoying a journey by boat in the water body. two others- monowar hossain and antu mia ‚äìwho were rescued alive were taken to m abdur rahim medical college hospital.>",50
action_sequence,"five people killed in a collision between a bus and an auto-rickshaw in gopalganj on saturday. three of the deceased were identified as lal mia, 27, bahar uddin, 40, jakaria, 30","<narayanganj, sept 15 (unb) ‚äì at least 30 people were injured as workers of an industrial factory engaged in a clash with law enforcers in kanchpur industrial area of sonargaon upazila on sunday. moniruzzaman, officer-in-charge of sonargaon police station, said workers of a factory of opex sinha group attempted to block the adjacent highway demanding wage increase around 12pm. the workers engaged in a clash with police when they tried to remove the demonstrating workers from the highway. at one stage, they started throwing brickbats at the law enforcers, forcing them to fire tear gas and rubber bullet. bashir ahmed, superintendent of industrial police-4, said ten policemen were injured in the clash. on the other hand, at least 20 workers received injuries, said asadur rahman, a worker of the factory. the situation is under control, said sonargaon oc, adding additional police members were deployed there. >",38
action_sequence,six people killed and 10 others injured in separate road crashes on dhaka-sylhet highway in raipura and shibpur upazilas of narsingdi district. three people killed when a truck rammed a micro,"<dhaka, dec 22 (unb) ‚äì two workers and two passersby sustained burn injuries in a gas cylinder explosion at goran road no. 8 in the city‚äôs khilgaon on saturday noon. the victims were identified as workers md dulu, 30, and md rabiul, 32, and passersby md hridoy, 15, and anisur rahman, 32. saiful islam, one of co-workers of the victims, said a gas cylinder suddenly went off with a big bang around 12 pm when they were working at ideal workshop, leaving two of them and two passersby injured. immediately after the incident, they were rushed to the burn unit of dhaka medical college hospital, said sub-inspector bachchu mia, in-charge of the hospital police outpost.>",37
action_sequence,"a man and his nephew were killed when their motorbike collided with a human hauler. the deceased were identified as hafez walid, 22, and pranta hossain, 16. police said the accident took place around 10","<kishoreganj, july 27 (unb)- a fatal road accident left four people dead in pakundia upazila of the district on saturday morning. the deceased were identified as auto-rickshaw driver sharif, khokon, a shoemaker, razia khatun, 75, ohid mia, 38. the truck crashed into the cng-run auto-rickshaw in front of mandarkandi girls high school on mathkhola-katiadi road at 8am, leaving sharif and khokon dead on the spot and two others injured, said md shafiqul islam, officer-in-charge of ahutia investigation centre. injured razia khatun died at katiadi upazila health complex while ohid mia on way to hospital, he added. police arrested the truck driver.>",48
action_sequence,"cattle trader ashraful haque,50, and monir hossain,45, from meherpur district died in the accident. seven of the cattle also perished, police and fire service said. the accident occurred around","<savar, jan 29 (unb) ‚äì three brick kilns workers and a truck driver, were killed as a truck plunged into in a roadside ditch in ashulia boro bridge area near bypail-abdullahpur highway early tuesday. the deceased were identified as workers arif miah, shahin, truck driver mujahud and brick field guard abdul kader, 50. the brick-laden truck plunged into a 40-feet deep ditch around 5:30 am when its driver lost control over the wheel, leaving four people including the driver missing, said rezaul haque dipu, officer-in-charge of ashulia police station. later, divers from fire service and civil defence station in uttara recovered four bodies. meanwhile, one managed to swim ashore who later was admitted to a hospital.>",54
action_sequence,"abrar ahmed chowdhury, a bangladesh university of professional student, died in front of bashundhara residential area on tuesday morning after being run over by a bus. protests triggered by abrar’s death","<noakhali, jan 21 (unb)- four people were killed and two others injured when a bus collided with an auto-rickshaw at nirwarispur in begumganj upazila on monday. the identities of the deceased could not be known immediately. the accident took place on begumganj-sonaimuri road around 1:15pm. ‚äúa noakhali-bound bus from dhaka hit an auto-rickshaw, killing four people on the spot and injuring two other,‚äù said firoz hossain, officer-in-charge of begumganj police station. the injured was taken to a local hospital.>",14
action_sequence,"a student of a private university was killed and another injured when a bus rammed a motorbike in dhaka. the deceased was identified as omar faruk palak, 20, son of mominul haque of chattogram district","<dhaka, aug 29 (unb) ‚äì five people, including three members of a family, were killed and 20 others injured on wednesday in separate road accidents in narsinghdi and brahmanbaria districts. in brahmanbaria, three members of a family were killed when a bus plunged into a roadside ditch at boisamura on dhaka-sylhet highway in sarail upazila around 1:30 pm. the deceased were identified as sabina nur, 32, her mother, robina nur, 50, her seven month old child yasin. in-charge of khatihata highway police md hossainsarkar said the driver of the sylhet-bound bus lost control over the steering and plunged into a ditch, killing the trio and injuring 20 others. two units of brahmanbaria fire service and one from madabpur rescued the injured people and sent them to sadar hospital, he said. in narsinghdi, two people were killed as a bus hit a motorcycle on dhaka-sylhet highway at baraitala area of shibpur upazila in the district. the deceased were identified as mehedi, 22, son of alauddin of khalispur village in kapasia upazila of gazipur and noman, 24, son of kafil uddin of the same village. officer-in-charge of shibpur highway police hafizur rahman said the sylhet-bound bus of ‚äòena paribahan‚äô hit the motorcycle around 10 am, killing mehedi on the spot and injuring another. noman died when he was taken to the narsinghdi hospital, he said. police seized the bus from bhairab but its driver managed to flee.>",69
action_sequence,"two motorcycles collided in faridpur's sadarpur upazila friday, police said. the two people killed were identified as rimon, 18, and tamim, 17. injured hira, 19, is from han","<dhaka, oct 25 (unb) ‚äì a court here on thursday framed charges against six people in a case filed over the death of two college students in a road accident on airport road on july 29. those indicted are the owners of two 'jabal-e-noor' buses shahadat hossain and jahangir alam, drivers masum billah and zobair sumon and assistants enayet hossain and asad. dhaka metropolitan sessions judge km imrul kayes passed the order following hearing on charge framing. the court also fixed november 1 for hearing the deposition of witnesses in the case. earlier, on october 22, a court set october 25 for charge framing hearing in the case. on september 6, inspector kazishariful islam of detective branch (db) of police submitted the charge sheet to the chief metropolitan magistrate's court against the six people. according to the case statement, the accident took place following the competition of two drivers of the vehicles of 'jabal-e-noor paribahan'. diyakhanammim and abdul karimrajib, first-year students of shaheedramizuddin cantonment college, were killed as a bus ploughed through some students in front of kurmitola general hospital on airport road in the capital. the accident triggered a widespread protest by students, demanding safe roads and seeking justice for their fellows.>",44
action_sequence,"two people killed when a private car carrying them plunged into a roadside ditch at shyamsundar in kalukhali upazila early thursday. the deceased were identified as driver of the car manir hossain, 32,","<chattogram, mar 27 (unb) ‚äì at least eight people were killed in a head-on collision between a bus and a microbus on the chattogram-cox‚äôs bazar highway around the chunuti area of lohagara early thursday. the identity of the deceased could not be known immediately. a bus of relax paribahan collided head-on with the microbus at the said location around 1am, leaving eight people including two minors and two women dead on the spot, said md alamgir, in-charge of chunuti police outpost. chattogram, mar 27 (unb) ‚äì at least eight people were killed in a head-on collision between a bus and a microbus on the chattogram-cox‚äôs bazar highway around the chunuti area of lohagara early thursday. the identity of the deceased could not be known immediately. a bus of relax paribahan collided head-on with the microbus at the said location around 1am, leaving eight people including two minors and two women dead on the spot, said md alamgir, in-charge of chunuti police outpost.>",49
action_sequence,"twenty-year-old mahima, a third-year student in english at the east west university, was killed. a bus of saudia paribahan crashed into the vehicle in sonargaon's dariyakandi","<chattogram, feb 03 (unb) ‚äì at least four people were killed and 10 others injured in a head-on collision between a bus and a microbus on chattogram-cox's bazar highway at bhaer dighi village in patiya upazila on sunday. the identities of the deceased could not be known immediately. the accident took place around 8:45 am said mohammad mizan, in-charge of patiya police outpost. the injured were taken to chittagong medical college hospital, said the police officer adding that the death toll may go up as some of them sustained severe injuries. a speeding bus of saudia paribahan hit the microbus at the place, leaving several people dead on the spot, said witnesses.>",44
action_sequence,"two people were killed in separate accidents in dhunat and shajahanpur upazilas of bogura. a teen – sobuj hossain, 14, son of sabed ali of shyamgati village –","<pabna, sept 1 (unb) ‚äì the bodies of three people, who went missing as a boat sank in the chalanbeel in chatmohar upazila on friday evening, were recovered on saturday. the deceased were identified as momtaz pervin sheuli, 45, wife of scientific officer billal hossain goni of ishwardi regional agricultural research station, shahanz pervin parul, wife of mosharraf hossain musa, and sadia khatun, 12, daughter of rafiqul islam swapan. a team of divers recovered the body of sheuli around 1:10am, said chatmohar upazila nirbahi officer oshim kumar. two other bodies were retrieved in the morning. besides, two other people-- billal and rafiqul islam swapan, son of saidur rahman biswas of ambagan in ishwardiupazila‚äîare still missing. five people went missing as a boat sank in the beel around 7:30 pm on friday when a crack developed at its bottom.>",43
action_sequence,a human hauler driver was crushed under the wheels of a truck and two of its passengers sustained injuries after the vehicle overturned. the deceased could not be identified immediately. the driver lost control over the wheels while it was trying to overtake a,"<sirajganj, sept 18 (unb) ‚äì a child died after reportedly falling into an electric trap set for catching foxes at faridpur village of salonga upazila here on wednesday. the deceased was identified as amena khatun, 5, daughter of alamin of the village. abdul jabbar, local union parishad chairman, said one abdus sattar set an electric trap at his chicken farm in the village to catch foxes on wednesday. the accident took place when amena and another child, who were playing just beside the trap, came in touch with a live wire. amena died on the spot while the other girl managed to survive the accident, jabbar added.>",38
action_sequence,"three people, including a child, were killed as a bus crashed into a motorcycle on kishoreganj-mymensingh highway. the deceased were identified as rubel mia, 32, his son shahriar, 5","<khulna, nov 5 (unb) ‚äì a college student was killed as a bus hit his bicycle at shiromoni badamtola in the city on sunday night. the deceased was identified as mohammad shakil, son of rahman and a 11th class student of cantonment college. assistant sub-inspector shawkat ali of khan jahan ali police station said the accident took place around 10:45 pm when a bus of ‚äòhanif paribahan‚äô hit the bicycle riding by him, leaving shakil dead on the spot. >",48
action_sequence,"ripon abdullah, 45, driver of the easy-bike was killed in a road accident in patuakhali. due to heavy rain and strong winds, the driver lost control and fell into a paddy field by the road","<manikganj, may 7 (unb)- a construction worker was crushed to death under a pick-up van on the dhaka-aricha highway in jagir area of the sadar upazila on tuesday morning. the deceased was identified as sohel hossain, 18, son of amej uddin. lutfar rahman, officer-in-charge of golra highway police station, said that the accident took place around 7:30am as the pick-up van hit sohel when he was crossing the road in front of akij tobacco limited. he was killed on the spot.>",40
action_sequence,"a total of 4,580 people were killed and 10,828 others injured in 4,317 road accidents in 2018. the accidents took place on highways, national highways and national, inter-district and regional roads.","<chattogram, nov 2 (unb) ‚äì a covered van driver was killed as a container from a lorry fell on his vehicle at chhoto kumira in sitakunda upazila on friday morning. the deceased was identified md royal, 40, hailing from noakhali district. the container from the lorry fell on the covered van around 10:30 am, leaving its driver dead on the spot, said harun pasha, senior officer of kumira fire service station. on information, a team rushed in and recovered the body from the spot, he said.>",39
action_sequence,"the deceased were identified as ashraf ali, 50, his wife parul khatun, 45, and their one-and-half-months old granddaughter rezwan. the accident occurred at hathibanddha of shibganj","<dhaka, nov 27 (unb) ‚äì the in-charge of sergeant ahad police box at gulistan sustained bullet injuries in an ‚äòaccidental‚äô firing by a patrol inspector inside the police box on tuesday. additional deputy commissioner of dhaka metropolitan police (motijheel) shibly noman told unb that sub-inspector obaidur rahman, patrol inspector saiful and assistant commissioner (patrol) ilias were sitting together at the ac‚äôs room at noon. when saiful was cleaning his firearm, a bullet suddenly came out of it around 12:30pm and hit obaidur in his two legs, he said. the injured was first taken to dhaka medical college hospital and then shifted to square hospitals ltd, shibly said, adding that the sub-inspector was now out of danger. he also said a four-member committee has been formed, led by him, to investigate the incident and the committee was asked to submit its report by november 30.>",23
action_sequence,"the deceased was identified as korban ali hossain, 35, a constable posted at rajarbagh police telecom bhaban. a bus of welcome paribahan hit korban’s motorcycle around 10 am, said","<dhaka, sept 2 (unb) - a sub-inspector (si) of rupnagar police station was killed as a bus, seized for a previous offence, hit his motorcycle from rear side in the city‚äôs mirpur zoo road area on sunday afternoon. si uttam was taking the bus of ‚äòeagle paribahan‚äô from mirpur beribadh to rupnagar police station in the afternoon. si uttam was riding on the motorcycle, while driver belal hossain was following him driving the bus at around 4:15 pm. suddenly si uttam was pushed by the bus at rainkhula and he died on the spot, officer-in-charge of rupnagar police station shah alam told unb. the bus (dhaka metro ba-14-6828) was seized by the rupnagar police from mirpur beribadh (embankment) on charge of hitting a vehicle of a dean of jahangirnagar university on august 29. a general diary was registered with rupnagar police station in this regard, the oc said. it is yet to be ascertained that whether the accident took place due to any mechanical fault of the bus or it was a deliberate attempt on the life of 32-year old policeman uttam kumar. police arrested the driver of the bus, belal hossain, 38, and his assistant from the spot.>",63
action_sequence,"two people were killed and another injured in separate road crashes in chuadanga and satkhira on wednesday. in chuandaga, a man was killed and his son was injured when a truck hit their motorcycle at hijolg","<chattogram, oct 17 (unb) ‚äì a crew member of a cargo vessel was burnt to death while two others sustained injuries as a fire broke out at the anchored vessel at bijoynagar ghat in karnaphuli river in the port city on tuesday night. the deceased was identified as saiful islam, 34, son of abul khayer of fatikchhari upazila. sub-inspector alauddin of chattogram medical college hospital police camp, said the vessel ‚äòmv aps-1‚äô caught fire around 11 pm, leaving three crewmembers of the ship injured. later, they were taken to chittagong medical college hospital where saiful succumbed to his injuries. the two other injured nahid, 18 and mizan, 25 were admitted to the burn unit of the hospital.>",41
action_sequence,"two young men, including a police constable, were killed as a covered van hit their motorbike. the deceased were identified as alamgir, 24, a constable of the office of deputy inspector general of police, chattogram","<dhaka, jan 26 (unb) - the government will provide tk 1,00,000 to each families of the brick kiln workers who were killed when a coal-laden truck overturned at chouddagram upazila in cumilla on friday. besides, the families of the injured will get tk 50,000 each, said akhterul islam, public relation officer (pro) of the ministry of labour and employment on saturday morning. the pro said state minister for labour and employment munnujan sufian made the announcement to provide the compensation from labour welfare fund. thirteen brick kiln workers were killed and five others injured when the coal-laden truck overturned on a labour shed at a brick field in chouddagram upazila's narayanpur early friday. meanwhile, a case has been filed against the truck driver and his helper who went into hiding after the accident. sanjib roy, brother of victim ranjit chandra roy, filed the case with chouddagram police station on friday night, said abdullah al mahfuz, officer-in-charge of the police station. the oc said that they are trying to arrest the driver and the helper. on saturday morning, deputy commissioner of nilphamari begum nazia shirin handed over the bodies of the victims to their families at rajbari government primary school ground in jaldhaka upazila. she also distributed tk 20,000, a blanket and some dry foods among the victims‚äô families. two separate investigation committees were formed by police and the administration. ‚äúthe four-member committee, led by additional deputy commissioner (general) kaizar mohammad farabi, has been asked to file report within seven days while the three-member committee, headed by additional superintendent of police abdullah al mamun, has been asked to submit its report within three working days,‚äù said deputy commissioner abu fazal mir on friday.>",47
action_sequence,"a bus overturned on dhaka-rangpur highway in jummar ghar area in gobindaganj upazila early saturday. three of the deceased were identified as riaz uddin, mahabul islam and sun","<dhaka, oct 28 (unb) ‚äì a fire broke out at a slum in the city‚äôs shekhertek area on sunday night. mizanur rahman, duty officer at the fire service central control room, said the fire originated at a shanty of the slum around 10:45pm. on information, five firefighting units rushed in to douse the blaze, he said. the reason behind the fire could not be known yet.>",26
